"","DBN","school_name","Num of SAT Test Takers","SAT Critical Reading Avg. Score","SAT Math Avg. Score","SAT Writing Avg. Score","avg_sat_score","AP Test Takers","Total Exams Taken","Number of Exams with scores 3 4 or 5","exams_per_student","high_score_percent","avg_class_size","frl_percent","total_enrollment","ell_percent","sped_percent","selfcontained_num","asian_per","black_per","hispanic_per","white_per","male_per","female_per","Total Cohort","grads_percent","dropout_percent","boro","lat","long","bn","schoolname","responder","score","response_type","question"
"3539","10X268","KINGSBRIDGE INTERNATIONAL HIGH SCHOOL",52,304,356,302,962,32,37,NA,1.15625,NA,30,95.1,497,88.7,0.4,0,6.8,5.4,84.7,3,52.3,47.7,118,56.8,11,"Bronx",40.8703774670004,-73.8981629519997,"X268","Kingsbridge International High School","aca_t_11",36,"teacher","acad. expectations"
"3540","10X284","BRONX SCHOOL OF LAW AND FINANCE",54,402,395,385,1182,21,27,NA,1.28571428571429,NA,23,74.2,422,7.1,15.2,21,0.7,31.5,65.2,2.6,56.6,43.4,99,58.6,19.2,"Bronx",40.8770494430004,-73.9123365989997,"X284","Bronx School of Law and Finance","aca_t_11",27,"teacher","acad. expectations"
"3541","10X319","PROVIDING URBAN LEARNERS SUCCESS IN EDUCATION HIGH SCHOOL",NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,17,81.8,213,5.2,16.4,1,0,37.6,61.5,0.5,40.4,59.6,113,21.2,21.2,NA,NA,NA,"X319","Providing Urban Learners Success In Education High","aca_t_11",26,"teacher","acad. expectations"
"3542","10X342","INTERNATIONAL SCHOOL FOR LIBERAL ARTS",49,300,333,301,934,55,73,45,1.32727272727273,61.6438356164384,24,78.3,606,79.9,4.6,3,0.2,0,99.8,0,49,51,83,59,12,"Bronx",40.8703774670004,-73.8981629519997,"X342","International School for Liberal Arts","aca_t_11",29,"teacher","acad. expectations"
"3543","10X368","INsTECH ACADEMY (M.S. / HIGH SCHOOL 368)",111,390,408,383,1181,40,54,17,1.35,31.4814814814815,26,77.9,1126,12.1,14.3,36,4,11.9,81.9,2,48.9,51.1,115,62.6,12.2,"Bronx",40.8800500930004,-73.9092090479996,"X368","In-Tech Academy (M.S. / High School 368)","aca_t_11",29,"teacher","acad. expectations"
"3544","10X374","KNOWLEDGE AND POWER PREPARATORY ACADEMY INTERNATIONAL HIGH SCHOOL (KAPPA)",61,392,401,387,1180,2.5,NA,NA,NA,NA,23,75.3,324,9.3,11.1,3,0.9,35.2,59.9,3.1,47.2,52.8,2,NA,NA,"Bronx",40.8600122210004,-73.8882296039997,"X374","Knowledge and Power Preparatory Academy Internatio","aca_t_11",42,"teacher","acad. expectations"
"3545","10X397","ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPORT PREPARATORY ACADEMY (ELLIS)",38,343,356,330,1029,2.5,NA,NA,NA,NA,18,92.8,316,80.4,0,NA,7,16.5,72.5,1.9,55.7,44.3,3,NA,NA,NA,NA,NA,"X397","English Language Learners and International Suppor","aca_t_11",50,"teacher","acad. expectations"
"3546","10X433","HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS",57,370,371,365,1106,62,83,13,1.33870967741935,15.6626506024096,21,88.1,473,17.8,20.1,44,2.5,25.2,70.4,1.9,42.3,57.7,134,65.7,22.4,"Bronx",40.8703774670004,-73.8981629519997,"X433","High School for Teaching and the Professions","aca_t_11",45,"teacher","acad. expectations"
"3547","10X434","BELMONT PREPARATORY HIGH SCHOOL",51,404,418,400,1222,31,45,10,1.45161290322581,22.2222222222222,22,76.8,407,11.3,15.7,43,3.2,29,65.6,1.7,47.2,52.8,96,63.5,11.5,"Bronx",40.8600122210004,-73.8882296039997,"X434","Belmont Preparatory High School","aca_t_11",35,"teacher","acad. expectations"
"3548","10X437","FORDHAM HIGH SCHOOL FOR THE ARTS",48,355,350,372,1077,2.5,NA,NA,NA,NA,23,78.3,387,12.4,22.5,41,1.6,35.7,61.5,1.3,43.2,56.8,82,73.2,7.3,"Bronx",40.8600122210004,-73.8882296039997,"X437","Fordham High School for the Arts","aca_t_11",24,"teacher","acad. expectations"
"3549","10X438","FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECHNOLOGY",63,367,385,367,1119,42,47,12,1.11904761904762,25.531914893617,21,78.9,451,16.6,20.6,46,2.7,27.7,67.8,1.3,63.4,36.6,144,51.4,16,"Bronx",40.8600122210004,-73.8882296039997,"X438","Fordham Leadership Academy for Business and Techno","aca_t_11",15,"teacher","acad. expectations"
"3550","10X439","BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE",65,366,364,352,1082,44,65,9,1.47727272727273,13.8461538461538,22,80.2,432,13.4,20.8,33,2.3,30.8,64.6,0.9,44.4,55.6,115,40,12.2,"Bronx",40.8600122210004,-73.8882296039997,"X439","Bronx High School for Law and Community Service","aca_t_11",27,"teacher","acad. expectations"
"3551","10X440","DEWITT CLINTON HIGH SCHOOL",443,419,426,410,1255,366,540,262,1.47540983606557,48.5185185185185,26,74.8,4159,19,14.9,352,6.7,30.8,59.6,2.1,51.1,48.9,1013,56.5,17.5,"Bronx",40.8800818400004,-73.8859015329996,"X440","DeWitt Clinton High School","aca_t_11",33,"teacher","acad. expectations"
"3552","10X442","CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC, THE",52,423,420,427,1270,31,35,8,1.12903225806452,22.8571428571429,23,74.7,423,3.5,7.8,2,0.5,27.2,69.5,2.4,40.7,59.3,82,74.4,7.3,"Bronx",40.8703774670004,-73.8981629519997,"X442","Celia Cruz Bronx High School of Music, The","aca_t_11",17,"teacher","acad. expectations"
"3553","10X445","BRONX HIGH SCHOOL OF SCIENCE",731,632,688,649,1969,1190,2435,2189,2.04621848739496,89.8973305954825,31,34.2,3013,0.1,0.1,0,63.5,3.5,7.2,25.4,57.8,42.2,668,98.4,0,"Bronx",40.8770563680004,-73.8897803509997,"X445","Bronx High School of Science","aca_t_11",26,"teacher","acad. expectations"
